taxid	rank
family	38152
family	38257
family	38263
family	38384
family	38385
family	38266
family	38747
family	38395
family	38405
family	38556
family	38563
family	38586
family	38612
family	38624
family	38627
family	38630
family	38633
family	38749
family	38752
family	38755
family	38879
family	39017
family	39020
family	39024
family	39426
family	39076
family	39126
family	39131
family	39134
family	39157
family	39161
family	39184
family	39187
family	39194
family	39204
family	39211
family	39216
family	39221
family	39222
family	39223
family	39227
family	39228
family	39237
family	39239
family	39243
family	39429
family	39451
family	39452
family	39476
family	39570
family	39579
family	39556
family	39678
family	39782
family	39998
family	39820
family	39821
family	39832
family	39684
family	39698
family	39699
family	39712
family	39715
family	39724
family	39729
family	39733
family	39738
family	39740
family	39741
family	39748
family	40013
family	40016
family	39933
family	39937
family	39940
family	39987
family	40019
family	40022
family	40029
family	40043
family	40046
family	40093
family	40105
family	40111
family	40420
family	40128
family	40424
family	40438
family	40132
family	40165
family	40455
family	40458
family	40465
family	40248
family	40662
family	40289
family	40293
family	40297
family	40310
family	40314
family	40331
family	40338
family	40417
family	40552
family	40562
family	40572
family	40580
family	40588
family	40595
family	40598
family	40665
family	40678
family	41218
family	41021
family	41025
family	41030
family	41034
family	41038
family	41039
family	41042
family	41073
family	41094
family	41097
family	41102
family	41105
family	41110
family	41113
family	41115
family	40995
family	41004
family	41234
family	41012
family	41016
family	41167
family	41169
family	41253
family	41178
family	41188
family	41277
family	41193
family	41294
family	41295
family	41297
family	41302
family	41303
family	41316
family	41442
family	41449
family	41318
family	41319
family	41324
family	41357
family	41363
family	41370
family	41671
family	41372
family	41677
family	41399
family	41702
family	41424
family	41433
family	41860
family	41773
family	41795
family	41799
family	41811
family	41814
family	41864
family	41819
family	41865
family	41866
family	41824
family	41867
family	41868
family	41873
family	41837
family	41878
family	41842
family	41845
family	41850
family	41954
family	42115
family	41969
family	41972
family	42148
family	42495
family	42164
family	42185
family	42186
family	42208
family	42216
family	42219
family	42220
family	42225
family	42226
family	42228
family	42243
family	42302
family	42310
family	42364
family	42389
family	42392
family	42395
family	42451
family	42472
family	42530
family	42610
family	42743
family	42761
family	42619
family	42807
family	42655
family	42822
family	42823
family	42824
family	42825
family	42657
family	43216
family	43062
family	43121
family	43124
family	43148
family	43219
family	43254
family	43272
family	43469
family	43475
family	43279
family	43282
family	43285
family	43682
family	43289
family	43506
family	43292
family	43512
family	43698
family	43701
family	43297
family	43707
family	43301
family	43314
family	43540
family	44230
family	43564
family	43567
family	43823
family	43825
family	43826
family	43827
family	43828
family	43756
family	43757
family	43758
family	44277
family	43835
family	43848
family	43873
family	44281
family	44296
family	44299
family	44341
family	43954
family	44164
family	44169
family	44179
family	44182
family	44185
family	44188
family	44191
family	44200
family	44204
family	44342
family	44343
family	44344
family	44215
family	44353
family	44358
family	44361
family	44364
family	44401
family	44928
family	44487
family	44974
family	44515
family	44746
family	44985
family	44998
family	44580
family	45039
family	44599
family	44615
family	45050
family	44643
family	45053
family	45082
family	45650
family	45307
family	45311
family	45349
family	45375
family	45376
family	45394
family	45401
family	45404
family	45087
family	45098
family	45105
family	45108
family	45114
family	45118
family	45120
family	45122
family	45125
family	45127
family	45131
family	45147
family	45152
family	45182
family	45214
family	45226
family	45664
family	45489
family	45492
family	46135
family	46562
family	45926
family	45947
family	45950
family	45998
family	46001
family	46101
family	46115
family	46116
family	46128
family	46764
family	46569
family	46579
family	46590
family	46593
family	46596
family	46599
family	46603
family	46630
family	46451
family	46458
family	46659
family	46918
family	46660
family	46683
family	46706
family	46711
family	46718
family	46724
family	46729
family	46733
family	46736
family	46741
family	46746
family	46751
family	46756
family	47526
family	47181
family	47190
family	47021
family	47069
family	47109
family	47116
family	47119
family	47127
family	47136
family	47529
family	47533
family	47163
family	47537
family	47167
family	47540
family	48158
family	47690
family	47693
family	47697
family	47890
family	47932
family	47743
family	48206
family	47757
family	47771
family	47777
family	48704
family	48433
family	48439
family	48715
family	48719
family	48781
family	48501
family	48528
family	48275
family	48280
family	48283
family	48791
family	48831
family	48595
family	48836
family	48389
family	48402
family	48423
family	48847
family	48857
family	48860
family	48910
family	49247
family	49250
family	49253
family	48966
family	48989
family	49229
family	49232
family	48990
family	48991
family	49236
family	50175
family	49241
family	49244
family	49546
family	49662
family	49929
family	50007
family	50234
family	50587
family	50600
family	50606
family	50616
family	50435
family	50439
family	50447
family	50619
family	50623
family	50626
family	50244
family	50247
family	50362
family	50630
family	50633
family	50642
family	50645
family	50651
family	50654
family	50658
family	50661
family	50664
family	50667
family	50673
family	50674
family	50675
family	50676
family	50677
family	50678
family	50685
family	50479
family	50483
family	50489
family	50509
family	50515
family	50527
family	50533
family	50548
family	50554
family	50558
family	50581
family	50791
family	51280
family	51005
family	51026
family	51037
family	50861
family	50885
family	50886
family	51102
family	51105
family	51108
family	51292
family	51112
family	51116
family	50931
family	50934
family	51295
family	50937
family	51326
family	51340
family	51377
family	51380
family	51383
family	51384
family	51964
family	51506
family	51508
family	51509
family	51510
family	51518
family	52030
family	51551
family	51590
family	51801
family	51819
family	51826
family	52047
family	51842
family	52051
family	52055
family	52058
family	52614
family	52170
family	52173
family	52181
family	51653
family	52317
family	52426
family	52186
family	52623
family	52627
family	52632
family	52635
family	52651
family	52234
family	52675
family	52683
family	53434
family	52281
family	52914
family	52920
family	52926
family	52929
family	52932
family	52935
family	52938
family	52974
family	52981
family	52986
family	52989
family	52997
family	53001
family	53009
family	53016
family	53020
family	52729
family	52746
family	52747
family	52748
family	52749
family	52750
family	52798
family	52902
family	53466
family	53689
family	53695
family	53702
family	53506
family	54504
family	54031
family	54049
family	54201
family	54204
family	54527
family	54354
family	54357
family	54584
family	54364
family	54367
family	54372
family	54375
family	54378
family	54381
family	54384
family	54124
family	54127
family	55004
family	54588
family	55007
family	55016
family	55030
family	55071
family	55086
family	55098
family	55111
family	55115
family	54740
family	54907
family	54912
family	54924
family	54958
family	54973
family	54976
family	54980
family	55118
family	55129
family	55133
